5, 50
5, 160
10, 165
115, 165
120, 160
115, 155
20, 155
15, 150
20, 145
115, 145
120, 140
115, 135
20, 135
15, 130
20, 125
110, 125
115, 125
120, 120
120, 110
120, 100
115, 95
110, 95
105, 100
105, 110
100, 115
95, 115
90, 110
90, 100
85, 95
80, 95
75, 100
75, 110
70, 115
65, 115
60, 110
60, 100
55, 95
50, 95
45, 100
45, 110
40, 115
35, 115
30, 110
30, 100
15, 80
15, 70
20, 65
35, 65
40, 70
45, 70
50, 60
55, 60
60, 70
65, 70
70, 60
75, 60
80, 70
85, 70
90, 60
95, 60
100, 70
105, 70
120, 55
120, 50
100, 30
55, 10
20, 5
10, 10
5, 15
5, 20
